Item Name	Type	Description	Effect/Modifier	Area of Effect	Duration	Uses	Range	Cost (eb)	Availability	Vs_Stat/Check	DV	Reliability	Special Notes	Source
EMP Grenade	Grenade	Hand-thrown grenade emits a burst of electromagnetic energy on detonation	Disables non-shielded electronics and cyberware within radius	5m radius	Instant	Single use	Thrown (15m)	300	Rare	TECH vs. 15 (to shield/repair affected electronics)	15	Standard	Disables all unshielded electronic gear/cyberware, including targeting scopes and radios; cyberlimbs disabled for 2d6 rounds; some military tech is shielded. See subsystem for edge cases.	Blackhand's Street Weapons p.37
EMP Mine	Mine	Stationary mine with proximity or remote trigger, emits EMP pulse on activation	Disables vehicles, security systems, unshielded cyberware within blast	3m radius	Instant	Single use	Stationary	400	Rare/Illegal	TECH vs. 17 (repair electronics after detonation)	17	Standard	Can be set for anti-vehicle/robot ambushes. Mine is often detected with security scan. Edge: may trigger alarms in corporate zones.	Maximum Metal p.29
EMP Rifle	Rifle	Shoulder-fired weapon projects directed EMP pulse	Disables unshielded electronics, cybernetics, and drones along line of fire	Beam: 1m wide, up to 20m	Instant	10 shots per power cell	20m	2000	Illegal	TECH vs. 20 (if cyberware is hardened)	20	Unreliable	Only high-tech security/military have access. Often fails if power cell overused; may trigger electronic alarms unintentionally.	Maximum Metal p.40
Pocket Jammer	Generator	Palm-sized jammer; blocks local wireless signals, emits weak EMP pulse	Blocks radio, comms, basic targeting devices	2m radius	Active: as long as powered	Rechargeable battery, 8 hours	Personal	250	Rare	TECH vs. 12 (to bypass jam with wired comm)	12	Reliable	Does not damage gear, but can interfere with cyberware comms and guidance. May cause police attention if detected.	Chromebook 2 p.64
Nanoagent Metal Restorer	Utility/Nanotech/Tool	Nano spray restores/polishes tarnished metal, 10 uses/tube	+2 to Tech/Maintenance, 3 months shelf life	[TBD]	[TBD]	[TBD]	[TBD]	47	Common/Shop/Field/Lab	TECH vs. 12	[TBD]	[TBD]	Used by techs, fixers, nomads, runners	Replace after 10 uses|Chromebook 3 p.4
Quick-Tie Utility Strap	Utility/Tool/Field	Adjustable, reusable strap for bundling gear, 12 per pack, 1.5m each	+2 to Logistics/Field Admin, supports 80kg	[TBD]	[TBD]	[TBD]	[TBD]	23	Common/Field/Shop/Outdoors	Logistics/Admin vs. 10	[TBD]	[TBD]	Nomad, tech, runner, fixer gear	Inspect after use|Chromebook 3 p.19
Personal Fold-Out Mirror	Utility/Tool/Field	Small, durable mirror for signaling, grooming, sightlines, 20 uses	+2 to Awareness/Survival, folds to pocket size	[TBD]	[TBD]	[TBD]	[TBD]	11	Common/Field/Outdoors/Shop	Awareness/Survival vs. 10	[TBD]	[TBD]	Nomad, tech, runner, fixer gear	Replace after 20 uses|Chromebook 3 p.19
Nanoagent Multi-Cleaner	Utility/Nanotech/Tool	Nano spray cleans multiple surfaces (metal, glass, plastic), 10 uses/tube	+2 to Tech/Cleaning, 3 months shelf life	[TBD]	[TBD]	[TBD]	[TBD]	53	Common/Shop/Field/Lab	TECH vs. 12	[TBD]	[TBD]	Used by techs, runners, fixers, nomads	Replace after 10 uses|Chromebook 3 p.4
Quick-Access Gear Hook	Utility/Tool/Field	Clip-on hook for gear, bags, tools, 5 per pack, 15kg load	+2 to Tech/Field Repair/Logistics, reusable	[TBD]	[TBD]	[TBD]	[TBD]	19	Common/Field/Shop/Outdoors	TECH/Logistics vs. 10	[TBD]	[TBD]	Nomad, tech, runner, fixer gear	Inspect after use|Chromebook 3 p.7
Personal Digital Chronometer	Utility/Tool/Field	Wrist/pocket digital watch with timer, backlight, water resistant	+2 to Field Admin/Logistics, 1yr battery	[TBD]	[TBD]	[TBD]	[TBD]	17	Common/Field/Outdoors/Shop/Street	Admin/Logistics vs. 10	[TBD]	[TBD]	Nomad, fixer, runner, tech gear	Replace battery annually|Chromebook 3 p.19
