Vehicle Name	Type	Manufacturer	Description	Armor	Speed	Handling	Crew Capacity	Passenger Capacity	Cargo Capacity	Cost	Availability	Special Features/Notes	Source
Armadillo	Pickup	New American Autoworks	Armored pickup popular with corporates and nomads; used for camping and mobile stations	SP 27 front/side/rear [TBD]	80 mph	-3	1	6	1200 kg	85,000 eb	Common	Off-road capable; turret mount for 1/2-space weapon	Chromebook 3-4 p.12
Vulture	Truck	New American Autoworks	Armored heavy tow truck with remote tow connector and turret	SP 40 front/side/rear [TBD]	80 mph	-4	1	1	2750 kg	215,000 eb	Rare	Armored cab, six-wheel drive, weapons turret	Chromebook 3-4 p.13
Microbike	Motorcycle	Sport Eurasia	Compact foldable bike favored by salarymen, off-road capable	SP 0	55 mph	[TBD]	1	1	[TBD]	1500 eb	Common	Heavy winch, long-range radio, remote tow connector	Chromebook 3-4 p.14
BMW 600	Car	BMW	Police patrol cruiser with armor and armament	SP 20 (bodywork), Tires SP 15	100 mph	[TBD]	2	2–16	[TBD]	25,000 eb	Common	Multi-band radio, sirens, gunports on front and sides	Protect & Serve p.11
BMW 2020	Urban Patrol Vehicle	BMW	Heavily armed and armored urban fighting vehicle	SP 30 (bodywork), Tires SP 20	150 kph	[TBD]	2	4	[TBD]	85,000 eb	Common	Remote turret with crowd control or minigun, multi-band radio	Protect & Serve p.12
BMW 9-Series Performance Interceptor	Car	BMW	High speed interceptor car, heavily armored	SP [TBD]	350 kph	[TBD]	[TBD]	[TBD]	55,000 eb	Rare	Designed for rapid pursuit and urban operations	Protect & Serve p.13
Bensen Violator	Hovercycle	Bensen	Incredibly fast and maneuverable hovercycle	SP 0	150 mph	0	1	1	330 kg	100,000 eb	Rare	Equally at home on water or land; requires Motorcycle 5+ skill	Chromebook 3-4 p.25
GMI Wolverine	Armored Personnel Carrier	GMI	Armored wheeled APC with weapons and amphibious capabilities	SP 35 (bodywork), Tires SP 15	110 mph	-2	3	0	2500 kg	360,000 eb	Rare	Amphibious, fire extinguisher, smoke launchers, machineguns, ATGM	Maximum Metal p.28
BMW 2020 Urban Patrol Vehicle	BMW	Armored urban patrol vehicle with off-road capability and turret	SP 30 (bodywork), Tires SP 20	100 mph	-1	2	4	1000 kg	90,000 eb	Common	Off-road capable, radar, infrared, turret with 7.62mm MG	Maximum Metal p.29
PanEurope VBL APC	Armored Patrol Car	Unknown	Light patrol vehicle with thermal imaging and remote targeting	SP 40 (bodywork)	70 mph	+2	2	2	1067 kg	145,000 eb	Rare	Amplification optics, reactive armor, multiple armament options	Chromebook 3-4 p.45
Tetracorp DR2100 Multi-Fuel Longnose	Truck	Tetracorp	Long distance tractor-trailer rig with cybercontrols and pintle mounts	SP 40	101 mph	-4	2	0	36000 kg trailer	200,000 eb	Common	Radar, nav system, crash control, armored headlights	Chromebook 3-4 p.50
