Source	Item_Name	Cyberwear_Type	Description/Function	Effect/Modifier	Required_Stat/Skill	Cost_(eb)	Humanity_Loss	Weight_(kg)	Availability	Power/Install_Requirement	Maintenance_Interval/Failure_Mode	Special_Notes
CP3291 Listen Up, p.98-100 [oai_citation:0‡Cyberpunk-2020-CP3291-Listen-Up-You-Primitive-Screwheads-Official.pdf](file-service://file-Dd7Bb3LiJbHuxX1rmBpVNz)	Skinweave	Bioware/Nanotech	Kelvar mesh in skin, provides SP vs. most damage	SP: 2–20 by grade, slight ATTR loss, some nerve deadening	TECH (surgery), MEDTECH	Varies by grade	0.5 per SP	Neg.	Common	Silicon supplement, upgrade by treatment	Reweave after major weight change, no full coverage	
CP3291 Listen Up, p.100–101 [oai_citation:1‡Cyberpunk-2020-CP3291-Listen-Up-You-Primitive-Screwheads-Official.pdf](file-service://file-Dd7Bb3LiJbHuxX1rmBpVNz)	Muscle & Bone Lace	Bioware/Nanotech	Kevlar weave on tendons, bone reinforcement, spinal shielding	+2 BOD, +1 STR, +1 MA, ignore up to 50% blunt trauma	BODY, TECH (surgery)	3000–10,000	1D6+2	Hard to track	Rare	Continuous silicon supplementation	Can require re-install, rare complications	
Chromebook 3-4 p.17 [oai_citation:2‡Cyberpunk-2020-CP3511-Chromebook-3-4-Official.pdf](file-service://file-1zcemsVMpPsBXG5hEWUZ97)	Advanced Muscle/Bone Lace	Bioware/Nanotech	Next-gen version: more efficient nanites, tougher weave	+3 BOD, +2 MA, near immunity to blunt trauma	BODY, TECH (surgery)	Varies	1D6+4	[TBD]	Uncommon	Enhanced diet, maintenance by nanofactory	Treatment must be repeated after major trauma	
Chromebook 3-4 p.20 [oai_citation:3‡Cyberpunk-2020-CP3511-Chromebook-3-4-Official.pdf](file-service://file-1zcemsVMpPsBXG5hEWUZ97)	Nanoauditory Rebuild	Nanotech/Audio	Nanite rebuild of auditory system, grants Enhanced Hearing, Level Damper	Enhanced Hearing, Level Damper (as cyberaudio options), temporary deafness	TECH (surgery), MEDTECH	1500	1	Neg.	Rare		Deaf for 30–100 hours after injection	
Chromebook 3-4 p.21 [oai_citation:4‡Cyberpunk-2020-CP3511-Chromebook-3-4-Official.pdf](file-service://file-1zcemsVMpPsBXG5hEWUZ97)	Neolungs	Bioware	Artificial lungs, improved oxygen use, enhanced breath holding	Double breath time, half breath rate	TECH (surgery), MEDTECH	1000	1	Neg.	Common	[TBD]	No major side effects, common among nomads, spacers	
Chromebook 3-4 p.22 [oai_citation:5‡Cyberpunk-2020-CP3511-Chromebook-3-4-Official.pdf](file-service://file-1zcemsVMpPsBXG5hEWUZ97)	Dornier-Bauer Biotechnische Neural Bridge	Bioware	Ambidextrous nerve graft, connects both brain hemispheres	Removes offhand penalties, 4-week adjustment	INT (adapt), MEDTECH	600	1	Neg.	Rare		4 weeks at half skill in new “off” hand	
Chromebook 3-4 p.3 [oai_citation:6‡Cyberpunk-2020-CP3511-Chromebook-3-4-Official.pdf](file-service://file-1zcemsVMpPsBXG5hEWUZ97)	Extra Twist Joint Option	Cyberlimb Add-on	Adds extra joints for extended flexibility	+2 REF/MA athletic/grapple, -5 penalty for one week, temp loss on fumble	REF, MA (test, athletics)	+30% limb cost, +10%/joint	+1 per extra joint	[TBD]	Uncommon		Lose use of limb on MA/REF fumble (1D10 rounds)	
Chromebook 3-4 p.5 [oai_citation:7‡Cyberpunk-2020-CP3511-Chromebook-3-4-Official.pdf](file-service://file-1zcemsVMpPsBXG5hEWUZ97)	Corvette Cyberlegs	Full Cyberlimb/Leg	Modular, enhanced cyberlegs (NoveiTech)	Reinforced hips/ribs, Smoothflow hydraulics, hardened joints, modular add-ons	TECH (surgery), REF (mobility)	Varies	1D6+3 per limb	8+ per pair	Rare		Compatible with “Speeding Bullet” and upgrades	
Chromebook 3-4 p.4 [oai_citation:8‡Cyberpunk-2020-CP3511-Chromebook-3-4-Official.pdf](file-service://file-1zcemsVMpPsBXG5hEWUZ97)	A1 Flesh Mount Cyberfinger Add-on	Body/Hand Add-on	Allows cyberfingers to be installed on meat hands	Provides cyberfinger slots on organic hands	TECH (surgery)	100	0.5	Neg.	Common		May combine with Quick-Change Mount	
Chromebook 3-4 p.4 [oai_citation:9‡Cyberpunk-2020-CP3511-Chromebook-3-4-Official.pdf](file-service://file-1zcemsVMpPsBXG5hEWUZ97)	B1 One-Shot Special (Cyberfinger Weapon)	Cyberfingers/Weapon	Holds a single 5mm round in tip, concealed in finger	Single shot, damage 1D6, range 20m	REF (shoot), TECH (install)	250	0.5	Illegal	Rare		May use alternate ammo, black-market in some regions	
	Nano Core Healing/Adaptive Node	Nanotech/Adaptive Node	Colonies of nanites to heal, repair, resist disease, regrow tissue	Heal REC in Hits per 60s, +2 REF/DEX, +4 CON vs. disease/poison, auto-limb regrowth	TECH (install), BODY (recovery)	Varies	[TBD]	Rare	Requires implanted node, ongoing nano-support	None needed, self-repairs	CP V3.0 p.200–201 [oai_citation:10‡Cyberpunk-V3-0-Core-Rules-v3-0.pdf](file-service://file-MWhvhvik9H9QZhVvrFEBRj)	
	Wiseman Full Borg Conversion	Fullborg/AI Conversion	Full-body cyborg conversion, parallel processing, supercomputer mind, net integration	Multiple INT actions, 40+ MU storage, built-in cybermodem, superhuman programming	INT, TECH, INTERFACE	≥100,000	Variable	Very Rare/Illegal	Full conversion, months of installation/therapy	Requires complete replacement and neural integration	Chromebook 3-4 p.14 [oai_citation:11‡Cyberpunk-2020-CP3511-Chromebook-3-4-Official.pdf](file-service://file-1zcemsVMpPsBXG5hEWUZ97)	
