Name	Gang	Specialty	Reputation	Quirk/Complication	Resist/Check
Psycho Boosters	Maelstrom	Extreme chrome, violence	Feared, unpredictable	May force cyberware trade, random attacks	COOL vs. 13 to negotiate; Solo: reroll, Techie: +1 to spot cyber glitch
Clown Gang	Bozos	Chaos, distraction, humiliation	Infamous pranksters	Ambush with tricks, social fallout	REF vs. 13 to spot setup; Fixer: reroll
Yakuza Influence	Tyger Claws	Martial arts, drugs, tech	Disciplined, respected by corps	May demand tribute, enforce “honor”	COOL vs. 14 to parley; Fixer: reroll, Netrunner: +1 for tech jobs
Street Brawlers	Animals	Biohacks, illegal muscle	Brutally strong, feared	Challenge to fights, substance abuse risk	BODY vs. 14 to resist, Medtech: reroll
Honor/Rep, Family	Valentinos	Charm, social pull, community	Charismatic, tight territory	Rival gang drama, family obligations	EMP vs. 13 to win support; Fixer: reroll
Netrunning, secrets	Voodoo Boys	ICE, data control, rituals	Mysterious, feared by corps	Hack traps, net backlash risk	INT vs. 14 to avoid; Netrunner: reroll
Salvage, theft, back-alley trade	Scavvers	Despised, survivors	May sell infected/bad gear	TECH vs. 13 to check; Techie: reroll	
Vigilantes, ex-mil, defense	6th Street	Patriotic, well-armed	Might press-gang for jobs, target “outsiders”	COOL vs. 13 to pass as local; Solo: reroll, Nomad: +1	
Chromed supremacists	Red Chrome Legion	Borgs, riots, hate crimes	Hated, dangerous	Will escalate quickly, anti-cyber bias	COOL vs. 14 to avoid heat; Solo: reroll
Road warriors, bikes	Iron Sights	Fast, unpredictable	Chases, roadside theft, loyalty tests	REF vs. 13 for chase; Nomad: reroll	
Nomad outlaws	Raffen Shiv	Raids, sabotage, betrayal	Hated by all nomads	Road ambush, betrayal risk	COOL vs. 13 to see through lies; Nomad: reroll
Defenders, medics, activists	Moxes	Tough, trusted by victims	Will aid those in trouble, expects loyalty	EMP vs. 12 to gain trust; Medtech: reroll	
